,TWII
2009/5/7,6572.87
2009/5/8,6583.87
2009/5/11,6647.5
2009/5/12,6432.55
2009/5/13,6485.14
2009/5/14,6364.17
2009/5/15,6489.09
2009/5/18,6577.81
2009/5/19,6655.59
2009/5/20,6703.62
2009/5/21,6718.81
2009/5/22,6737.29
2009/5/25,6734.46
2009/5/26,6683.11
2009/5/27,6890.44
2009/6/1,6954.1
2009/6/2,6949.08
2009/6/3,6893.14
2009/6/4,6786.06
2009/6/5,6767.1
2009/6/6,6856.74
2009/6/8,6628.02
2009/6/9,6414.39
2009/6/10,6462.27
2009/6/11,6567.37
2009/6/12,6448.23
2009/6/15,6225.56
2009/6/16,6220.81
2009/6/17,6195.91
2009/6/18,6144.53
2009/6/19,6231.15
2009/6/22,6341.21
2009/6/23,6197.47
2009/6/24,6380.08
2009/6/25,6457.61
2009/6/26,6463.56
2009/6/29,6391.15
2009/6/30,6432.16
2009/7/1,6578.97
2009/7/2,6667.53
2009/7/3,6665.4
2009/7/6,6649.91
2009/7/7,6715.22
2009/7/8,6668.14
2009/7/9,6748.18
2009/7/10,6769.86
2009/7/13,6530.82
2009/7/14,6639.41
2009/7/15,6738.6
2009/7/16,6780.3
2009/7/17,6850.99
2009/7/20,6938.86
2009/7/21,6953.34
2009/7/22,6985.32
2009/7/23,6980.88
2009/7/24,6973.28
2009/7/27,7028.43
2009/7/28,7142.63
2009/7/29,7083.63
2009/7/30,7027.11
2009/7/31,7077.71
2009/8/3,7056.71
2009/8/4,6955.87
2009/8/5,6848.24
2009/8/6,6868.65
2009/8/10,6882.87
2009/8/11,6909.02
2009/8/12,6898.9
2009/8/13,7034.96
2009/8/14,7069.51
2009/8/17,6931.8
2009/8/18,6789.77
2009/8/19,6788.58
2009/8/20,6733.23
2009/8/21,6654.8
2009/8/24,6838.25
2009/8/25,6809.41
2009/8/26,6719.21
2009/8/27,6690.75
2009/8/28,6809.86
2009/8/31,6825.95
2009/9/1,7019.75
2009/9/2,7039.77
2009/9/3,7104.65
2009/9/4,7153.13
2009/9/7,7224.59
2009/9/8,7313.99
2009/9/9,7250.72
2009/9/10,7332.08
2009/9/11,7337.14
2009/9/14,7256.95
2009/9/15,7346.26
2009/9/16,7440.24
2009/9/17,7477.3
2009/9/18,7526.55
2009/9/21,7502.46
2009/9/22,7469.03
2009/9/23,7376.76
2009/9/24,7324.22
2009/9/25,7345.22
2009/9/28,7284.61
2009/9/29,7429.98
2009/9/30,7509.17
2009/10/1,7545.29
2009/10/2,7411.88
2009/10/5,7437.98
2009/10/6,7536.05
2009/10/7,7608.66
2009/10/8,7503.31
2009/10/9,7571.96
2009/10/12,7599.88
2009/10/13,7596.6
2009/10/14,7695.75
2009/10/15,7710.4
2009/10/16,7715.1
2009/10/19,7751.32
2009/10/20,7753.52
2009/10/21,7701.5
2009/10/22,7607.93
2009/10/23,7649.28
2009/10/26,7668.4
2009/10/27,7657.34
2009/10/28,7533.95
2009/10/29,7355.69
